date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
30/12/2016 15:53;253;746;OBAMA, peggior presidente storia USA. Gli hanno pure regalato Nobel per la Pace.. Anno nuovo, presidente nuovo: benvenuto @ realDonaldTrump!;;@;;8,14847E+17;https://twitter.com/matteosalvinimi/status/814846886091915265
30/12/2016 14:09;181;702;Gianluca, sempre con noi!pic.twitter.com/XMrmPPcdfw;;;;8,14821E+17;https://twitter.com/matteosalvinimi/status/814820831503204352
30/12/2016 11:59;253;783;Espulso stamattina tunisino residente a Edolo (BS) che stava preparando attentato! Nel 2017 faremo bella PULIZIA GENERALE in tutta Italia!;;;;8,14788E+17;https://twitter.com/matteosalvinimi/status/814788044435968001
29/12/2016 18:03;216;567;"Anche grazie alla vostra civile protesta, parroco di Potenza toglie Madonna col burqa e smonta presepe islamico""!http://www.lastampa.it/2016/12/29/multimedia/italia/sconfitto-il-parroco-il-presepe-con-la-madonna-in-abiti-arabi-stato-rimosso-LAcbjnZ7qB5Y0u56m7JLTN/pagina.html …""";;;;8,14517E+17;https://twitter.com/matteosalvinimi/status/814517220298686464
29/12/2016 13:28;189;291;"ATTENZIONE! Adesso che le ronde le fa il PD sono gentili"" e ""democratiche""...http://bologna.repubblica.it/cronaca/2016/12/29/news/_le_nostre_ronde_di_sinistra_la_sicurezza_non_e_un_tabu_-155028531/ …""";;;;8,14448E+17;https://twitter.com/matteosalvinimi/status/814448084679794688
29/12/2016 13:24;306;615;Una foto vale più di mille parole. Che il 2017 ci liberi dalla dittatura di Bruxelles, dell'Euro, delle banche e dell'invasione islamica.pic.twitter.com/zjZR6FLk2c;;;;8,14447E+17;https://twitter.com/matteosalvinimi/status/814447088817831937
28/12/2016 22:19;25;120;In diretta con voi dalla festa Lega di Albino, Bergamo. Fatemi compagnia, Amici. Voi che cosa state facendo? > https://www.facebook.com/salviniofficial/videos/10154379824518155/ …;;;;8,14219E+17;https://twitter.com/matteosalvinimi/status/814219265217851394
28/12/2016 22:18;7;59;21 - 19 e 21 - 15. Professionista del ping pong! > https://instagram.com/p/BOk1p7gBJsf/;;;;8,14219E+17;https://twitter.com/matteosalvinimi/status/814219074930704384
28/12/2016 17:05;134;448;Buon viaggio Nicole, piccolo angelo. Un abbraccio alla tua mamma e al tuo papà, stima per gesto dei loro colleghi.http://www.corriere.it/cronache/16_dicembre_28/nicole-morta-a689e346-cc73-11e6-89aa-18ad6a6eb0ec.shtml …;;;;8,1414E+17;https://twitter.com/matteosalvinimi/status/814140204953038848
27/12/2016 11:55;67;482;Incredibile, abbiamo superato quota 1.700.000 Amici sulla Pagina Facebook, una Comunità che cresce, discute, ragiona, propone.;;;;8,137E+17;https://twitter.com/matteosalvinimi/status/813699903176196096
26/12/2016 12:09;29;116;# GeorgeMichael > https://www.facebook.com/salviniofficial/videos/10154371249948155/ …;;;#;8,13341E+17;https://twitter.com/matteosalvinimi/status/813340913820925952
25/12/2016 15:27;245;585;A # Natale siamo tutti più buoni, ma non più fessi! # governoclandestino # votosubitopic.twitter.com/dYjfEeYiQX;;;# # #;8,13028E+17;https://twitter.com/matteosalvinimi/status/813028495177748480
25/12/2016 12:31;26;141;Buon # Natale! >https://m.facebook.com/story.php?story_fbid=10154367759428155&id=252306033154 …;;;#;8,12984E+17;https://twitter.com/matteosalvinimi/status/812984042996060160
24/12/2016 17:56;120;533;Amici, che la Madonnina ci protegga tutti! Buona # vigilia di # Natale ovunque voi siate. > https://instagram.com/p/BOaEgbphDtA/;;;# #;8,12703E+17;https://twitter.com/matteosalvinimi/status/812703403201744896
24/12/2016 13:16;146;551;Buon # Natale, di Speranza e di Futuro!pic.twitter.com/CmcQWx4233;;;#;8,12633E+17;https://twitter.com/matteosalvinimi/status/812633049510903808
24/12/2016 10:42;89;406;Mattinata coi Giovani della Lega per portare i regali di Babbo Natale alle bimbe e ai bimbi ricoverati all'Ospedale Buzzi di Milano.pic.twitter.com/y7YPSUHcjt;;;;8,12594E+17;https://twitter.com/matteosalvinimi/status/812594408839348224
23/12/2016 20:25;55;225;Grazie # Milan! @ acmilan # MilanJuventus # juventusmilan;;@;# # #;8,12379E+17;https://twitter.com/matteosalvinimi/status/812378541270634497
23/12/2016 18:00;283;706;Premier e ministro hanno reso pubblici nomi e volti dei due poliziotti. Ma vi pare una cosa intelligente??? # stopinvasione # AnisAmri;;;# #;8,12342E+17;https://twitter.com/matteosalvinimi/status/812342023135096834
23/12/2016 17:17;293;693;Appunto cara # grillina, vaffanculo! Ricoveratela. # AnisAmripic.twitter.com/1Usd5L5NWC;;;# #;8,12331E+17;https://twitter.com/matteosalvinimi/status/812331378075435008
23/12/2016 11:10;201;493;Ucciso stanotte vicino a Milano il # killerdiBerlino. # AnisAmri # 23Dicembre # Killer # Berlinopic.twitter.com/n7rUdXO3Lj;;;# # # # #;8,12239E+17;https://twitter.com/matteosalvinimi/status/812238885514280960
23/12/2016 09:30;189;304;Per chi ha la memoria corta, ecco i numeri della vergogna dello scorso Capodanno... # stopinvasionehttp://www.corriere.it/esteri/16_luglio_11/violenze-capodanno-colonia-polizia-1200-donne-aggredite-4b5cb020-473f-11e6-af4e-15bff4e09cf7.shtml …;;;#;8,12214E+17;https://twitter.com/matteosalvinimi/status/812213685385121792
22/12/2016 20:08;52;222;"Anche quest'anno, alle 10 di sabato mattina, sarò all'Ospedale dei Bambini Buzzi"" di Milano.pic.twitter.com/KCU3nC6rfW""";;;;8,12012E+17;https://twitter.com/matteosalvinimi/status/812011929539670016
22/12/2016 16:46;168;437;Mah, che dite, sarà il freddo???pic.twitter.com/i8hI6JX3wy;;;;8,11961E+17;https://twitter.com/matteosalvinimi/status/811961176389206016
21/12/2016 21:16;144;464;# Salvini: me la prendo anche con gli pseudopresidi che cancellano il Natale, complici di chi ci vuole invadere. # dallavostraparte;;;# #;8,11667E+17;https://twitter.com/matteosalvinimi/status/811666615414702080
21/12/2016 21:08;130;369;# Salvini: integrazione? Stiamo spendendo anche troppo! Qui c'è da garantire l'incolumità di milioni di persone! # dallavostrapartepic.twitter.com/tau6AZXgaJ;;;# #;8,11665E+17;https://twitter.com/matteosalvinimi/status/811664558901211136
21/12/2016 21:05;65;201;# Salvini: se hai dei minori e non hai più casa, il Comune è obbligato a provvedere. E dovrebbe valere anche per Genova. # dallavostraparte;;;# #;8,11664E+17;https://twitter.com/matteosalvinimi/status/811663996575186944
21/12/2016 21:05;167;499;# Salvini: ad Arezzo il nostro assessore ha cambiato il regolamento e ora le case popolari vanno prima agli italiani. # dallavostraparte;;;# #;8,11664E+17;https://twitter.com/matteosalvinimi/status/811663824998854656
21/12/2016 20:54;73;196;# Salvini: Fenomeno! Guarda che in Italia oggi governa qualcun altro...! # dallavostrapartepic.twitter.com/rYR6GNjRvR;;;# #;8,11661E+17;https://twitter.com/matteosalvinimi/status/811661176853712897
