,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
the,0.418,0.2497,-0.41240000000000004,0.1217,0.3453,-0.044500000000000005,-0.4969,-0.1786,-0.0007,-0.6566000000000001,0.27840000000000004,-0.1477,-0.5568000000000001,0.1466,-0.0095,0.0117,0.10200000000000001,-0.1279,-0.8443,-0.1218,-0.016800000000000002,-0.33280000000000004,-0.1552,-0.2313,-0.1918,-1.8823,-0.7675000000000001,0.09910000000000001,-0.4212,-0.1953,4.0071,-0.1859,-0.5229,-0.3168,0.0006000000000000001,0.0074,0.1778,-0.159,0.012,-0.054200000000000005,-0.2987,-0.1575,-0.3476,-0.0456,-0.4425,0.18780000000000002,0.0028,-0.1841,-0.11510000000000001,-0.7858
",",0.0134,0.2368,-0.169,0.40950000000000003,0.6381,0.4771,-0.42850000000000005,-0.5564,-0.364,-0.2394,0.13,-0.0637,-0.39580000000000004,-0.48160000000000003,0.23290000000000002,0.0902,-0.1332,0.0786,-0.4163,-0.15430000000000002,0.10070000000000001,0.4889,0.3123,-0.1252,-0.0375,-1.5179,0.12610000000000002,-0.0244,-0.043000000000000003,-0.28350000000000003,3.5416,-0.11960000000000001,-0.0145,-0.1499,0.21860000000000002,-0.3341,-0.13870000000000002,0.3181,0.7036,0.4486,-0.08030000000000001,0.63,0.3211,-0.4676,0.22790000000000002,0.3603,-0.37820000000000004,-0.5666,0.044700000000000004,0.3039
.,0.1516,0.3018,-0.1676,0.1768,0.31720000000000004,0.3397,-0.4348,-0.3109,-0.45,-0.2949,0.1661,0.11960000000000001,-0.4133,-0.42350000000000004,0.5987,0.2882,-0.1155,-0.041800000000000004,-0.6799000000000001,-0.2506,0.1847,0.0869,0.46580000000000005,0.015,0.043500000000000004,-1.4671,-0.3038,-0.0234,0.3059,-0.21780000000000002,3.746,0.004200000000000001,-0.1844,-0.4621,0.0983,-0.11910000000000001,0.23920000000000002,0.11610000000000001,0.417,0.0568,-0.0001,0.069,0.0879,-0.1028,-0.1393,0.22310000000000002,-0.08080000000000001,-0.35650000000000004,0.0164,0.1022
of,0.7085,0.5709000000000001,-0.4716,0.18050000000000002,0.5445,0.726,0.1816,-0.5239,0.1038,-0.1757,0.0789,-0.3622,-0.1183,-0.8334,0.1192,-0.166,0.0616,-0.012700000000000001,-0.5662,0.013600000000000001,0.2285,-0.14400000000000002,-0.0675,-0.3816,-0.23700000000000002,-1.7037,-0.8669,-0.267,-0.2589,0.1767,3.8676,-0.1613,-0.1327,-0.6888000000000001,0.1844,0.005200000000000001,-0.3387,-0.079,0.24180000000000001,0.3658,-0.3473,0.2848,0.0757,-0.062200000000000005,-0.3899,0.229,-0.2162,-0.22560000000000002,-0.09390000000000001,-0.8038000000000001
to,0.6805,-0.0393,0.3019,-0.1779,0.42960000000000004,0.0322,-0.4138,0.1323,-0.2985,-0.0853,0.17120000000000002,0.2242,-0.1005,-0.4365,0.3342,0.6785,0.0572,-0.34450000000000003,-0.4278,-0.4328,0.5596,0.1003,0.18680000000000002,-0.2685,0.0373,-2.0932,0.2217,-0.3987,0.2091,-0.5572,3.8826,0.4747,-0.9566,-0.3779,0.2087,-0.3275,0.1275,0.0884,0.1635,-0.21630000000000002,-0.0944,0.0183,0.21050000000000002,-0.0309,-0.19720000000000001,0.0823,-0.09430000000000001,-0.0733,-0.06470000000000001,-0.2604
and,0.2682,0.14350000000000002,-0.2788,0.016300000000000002,0.11380000000000001,0.6992,-0.5133,-0.4737,-0.33080000000000004,-0.1383,0.2702,0.3094,-0.4501,-0.4127,-0.0993,0.0381,0.0297,0.1008,-0.2506,-0.5182,0.3456,0.44920000000000004,0.4879,-0.0809,-0.1012,-1.3777,-0.1087,-0.232,0.0128,-0.4651,3.8463000000000003,0.3136,0.1364,-0.5224,0.3302,0.3371,-0.356,0.32430000000000003,0.12040000000000001,0.3512,-0.069,0.3688,0.25170000000000003,-0.2452,0.2538,0.13670000000000002,-0.3118,-0.6321,-0.2503,-0.381
in,0.3304,0.25,-0.6087,0.1092,0.0364,0.151,-0.5508000000000001,-0.0742,-0.09230000000000001,-0.3282,0.096,-0.8227,-0.3672,-0.6701,0.42910000000000004,0.0165,-0.23570000000000002,0.12860000000000002,-1.0953,0.4333,0.5707,-0.10360000000000001,0.20420000000000002,0.07830000000000001,-0.428,-1.7984,-0.2786,0.11950000000000001,-0.1269,0.0317,3.8631,-0.1779,-0.0824,-0.627,0.265,-0.0572,-0.07350000000000001,0.461,0.30860000000000004,0.125,-0.48610000000000003,-0.008,0.031200000000000002,-0.3658,-0.427,0.42160000000000003,-0.11670000000000001,-0.507,-0.0273,-0.5329
a,0.217,0.4652,-0.4676,0.1008,1.0135,0.7484000000000001,-0.531,-0.2626,0.1681,0.1318,-0.24910000000000002,-0.4418,-0.2174,0.51,0.1345,-0.4314,-0.031200000000000002,0.20670000000000002,-0.7814,-0.2015,-0.0974,0.16090000000000002,-0.6184000000000001,-0.185,-0.1246,-2.2526,-0.2232,0.5043,0.3226,0.1531,3.9636,-0.7136,-0.6701,0.28390000000000004,0.2174,0.1443,0.25930000000000003,0.2343,0.4274,-0.4445,0.1381,0.36970000000000003,-0.6429,0.0241,-0.0393,-0.2604,0.1202,-0.0438,0.4101,0.1796
for,0.1527,0.3618,-0.2217,0.0661,0.1303,0.3708,-0.7587,-0.44720000000000004,0.22560000000000002,0.10210000000000001,0.054200000000000005,0.13490000000000002,-0.4305,-0.2134,0.5614,-0.2144,0.078,0.1014,-0.5131,-0.40290000000000004,0.40640000000000004,0.2331,0.20700000000000002,-0.1267,-0.5063,-1.7131,0.0772,-0.3914,-0.10590000000000001,-0.2374,3.9552,0.666,-0.6184000000000001,-0.32680000000000003,0.37020000000000003,0.2576,0.38980000000000004,0.2712,0.043000000000000003,-0.3432,0.020300000000000002,0.2142,0.0441,0.14,-0.2008,0.0748,-0.3608,0.4338,-0.08460000000000001,0.12140000000000001
that,0.8839,-0.14200000000000002,0.13570000000000002,0.09870000000000001,0.5122,0.4914,-0.4716,-0.3074,0.0196,0.1269,0.07350000000000001,0.3584,-0.6087,-0.18680000000000002,0.7894,0.5453,0.1106,-0.2923,0.059000000000000004,-0.6955,-0.188,0.19460000000000002,0.32270000000000004,-0.4998,0.306,-2.3902,-0.6075,0.37110000000000004,0.0789,-0.23900000000000002,3.839,-0.2036,-0.3561,-0.6918000000000001,-0.17500000000000002,-0.3532,0.106,-0.0393,0.015700000000000002,0.0383,-0.3528,0.44880000000000003,-0.1653,0.3158,0.1496,-0.0713,-0.5351,0.5271,-0.2015,0.009600000000000001
